model,tissue_raw,tissue_display,pair_count,auc,aupr
FUSECDR,LUNG,Lung,25905,0.935783756571375,0.8987398747347302
FUSECDR,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"Haematopoietic
/lymphoid",22462,0.9337081558840565,0.9416047249031118
FUSECDR,BREAST,Breast,9891,0.9315938165744445,0.8966864308911398
FUSECDR,LARGE_INTESTINE,Large intestine,7343,0.9262120723790229,0.8661936957409988
FUSECDR,SKIN,Skin,6687,0.941256737942111,0.923902039613954
GraphCDR,LUNG,Lung,25905,0.930067442503374,0.8855315905273892
GraphCDR,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"Haematopoietic
/lymphoid",22462,0.9309774474457083,0.9389299286457622
GraphCDR,BREAST,Breast,9891,0.9262109237918678,0.8840753558558145
GraphCDR,LARGE_INTESTINE,Large intestine,7343,0.916409595285234,0.8443377547095751
GraphCDR,SKIN,Skin,6687,0.9300993914425969,0.9062942020328676
RedCDR,LUNG,Lung,25905,0.9313651463384285,0.8897147000626542
RedCDR,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"Haematopoietic
/lymphoid",22462,0.9316798794121136,0.9374457104260009
RedCDR,BREAST,Breast,9891,0.925609560489031,0.8861733146734971
RedCDR,LARGE_INTESTINE,Large intestine,7343,0.9155337194093582,0.8448444488163745
RedCDR,SKIN,Skin,6687,0.9346545407361889,0.9136466878377977
GADRP,LUNG,Lung,25905,0.8446642657180472,0.7584510150226225
GADRP,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"Haematopoietic
/lymphoid",22462,0.8070223296863139,0.8190587323963795
GADRP,BREAST,Breast,9891,0.8395545693331301,0.7488838170892458
GADRP,LARGE_INTESTINE,Large intestine,7343,0.8390006701761387,0.7114902333007919
GADRP,SKIN,Skin,6687,0.8487925707265053,0.80559697154803
DeepTTC,LUNG,Lung,25905,0.6564413700003962,0.5369357748655512
DeepTTC,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"Haematopoietic
/lymphoid",22462,0.6717462992468965,0.7119392807220669
DeepTTC,BREAST,Breast,9891,0.6582839212857442,0.5423449625512874
DeepTTC,LARGE_INTESTINE,Large intestine,7343,0.649861701565279,0.4742506705697257
DeepTTC,SKIN,Skin,6687,0.674801054921301,0.6141185110981865
GraphDRP,LUNG,Lung,25905,0.9067049728858425,0.8461596712736552
GraphDRP,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"Haematopoietic
/lymphoid",22462,0.9118842860184997,0.9203064853814652
GraphDRP,BREAST,Breast,9891,0.8967888298494553,0.8353965937451848
GraphDRP,LARGE_INTESTINE,Large intestine,7343,0.8924331912832765,0.7971911356893708
GraphDRP,SKIN,Skin,6687,0.9071539408045314,0.8709362774064756
