model,drug_id,drug_name,pair_count,auc,aupr
FUSECDR,46883536,Avagacestat,453,0.4853563293198828,0.03028535139145464
FUSECDR,9956119,CHIR-99021,453,0.6926450433988122,0.3599998480021226
FUSECDR,2375,Bicalutamide,452,0.3756495916852264,0.006834785902601796
FUSECDR,31703,Doxorubicin,452,0.9457013574660633,0.9987128458030448
FUSECDR,44137675,AZD6482,452,0.6798803606032522,0.5001882808685654
FUSECDR,46224516,UNC0638,452,0.8155196858981352,0.9343880909822968
FUSECDR,46907787,JQ1,452,0.7554975011358472,0.8485194454702017
FUSECDR,9858940,SB505124,452,0.681402784940691,0.5922986581396498
FUSECDR,60750,Gemcitabine,451,0.8623247584047911,0.962974363934339
FUSECDR,104842,SN-38,444,0.864793771043771,0.9792831981624792
GraphCDR,46883536,Avagacestat,453,0.42564269443540514,0.060909115027583394
GraphCDR,9956119,CHIR-99021,453,0.7292370945637278,0.3472620301452778
GraphCDR,2375,Bicalutamide,452,0.3719376391982182,0.006818511296373242
GraphCDR,31703,Doxorubicin,452,0.9006787330316741,0.9974467317838689
GraphCDR,44137675,AZD6482,452,0.6768472491364057,0.5423110061868556
GraphCDR,46224516,UNC0638,452,0.7887446831715563,0.9256006955184122
GraphCDR,46907787,JQ1,452,0.7346433439345753,0.8362718712285896
GraphCDR,9858940,SB505124,452,0.6517173800928313,0.5385485671480408
GraphCDR,60750,Gemcitabine,451,0.8653191778957398,0.9679011426383224
GraphCDR,104842,SN-38,444,0.8493265993265994,0.9731901592994152
RedCDR,46883536,Avagacestat,453,0.4731532704197852,0.030713813611276706
RedCDR,9956119,CHIR-99021,453,0.742439470077661,0.3300150692453128
RedCDR,2375,Bicalutamide,452,0.32887899034892354,0.006370659733196237
RedCDR,31703,Doxorubicin,452,0.8877828054298642,0.9967720364703985
RedCDR,44137675,AZD6482,452,0.6831872946330777,0.5224993262568929
RedCDR,46224516,UNC0638,452,0.8143472570618389,0.9310348105621201
RedCDR,46907787,JQ1,452,0.7301681054066335,0.8363234754155441
RedCDR,9858940,SB505124,452,0.6531407942238268,0.5347846147549975
RedCDR,60750,Gemcitabine,451,0.8726691166462501,0.9673983989291528
RedCDR,104842,SN-38,444,0.8253367003367004,0.9663885821996042
GADRP,46883536,Avagacestat,453,0.5764725024406118,0.08800186561426568
GADRP,9956119,CHIR-99021,453,0.67811786203746,0.24385905668667707
GADRP,2375,Bicalutamide,452,0.2457312546399406,0.0056911458204959905
GADRP,31703,Doxorubicin,452,0.7599547511312217,0.9911201155866844
GADRP,44137675,AZD6482,452,0.6436094026455471,0.49916659136773023
GADRP,46224516,UNC0638,452,0.6519249645544771,0.8543171659119717
GADRP,46907787,JQ1,452,0.7039527487505679,0.826139162663431
GADRP,9858940,SB505124,452,0.6090149561629706,0.4915540371722323
GADRP,60750,Gemcitabine,451,0.7210085749285423,0.9129479447103219
GADRP,104842,SN-38,444,0.8052398989898989,0.9706336184499034
DeepTTC,46883536,Avagacestat,453,0.5762284412626097,0.04722750417567733
DeepTTC,9956119,CHIR-99021,453,0.5371630881681133,0.15915363183551376
DeepTTC,2375,Bicalutamide,452,0.8144023756495917,0.022691918613528785
DeepTTC,31703,Doxorubicin,452,0.619683257918552,0.9884329423030197
DeepTTC,44137675,AZD6482,452,0.5363236161428933,0.38078960027093023
DeepTTC,46224516,UNC0638,452,0.5387037844912205,0.800913563572218
DeepTTC,46907787,JQ1,452,0.6151976374375283,0.7584542836048467
DeepTTC,9858940,SB505124,452,0.5861062403300671,0.4552095623090323
DeepTTC,60750,Gemcitabine,451,0.469460323941745,0.8204548435678864
DeepTTC,104842,SN-38,444,0.6025620791245792,0.926362173757892
GraphDRP,46883536,Avagacestat,453,0.561747478034494,0.04223434504810729
GraphDRP,9956119,CHIR-99021,453,0.7033576975788031,0.2750251558966509
GraphDRP,2375,Bicalutamide,452,0.6570155902004454,0.015669108699707904
GraphDRP,31703,Doxorubicin,452,0.8912895927601809,0.9968536301305437
GraphDRP,44137675,AZD6482,452,0.5890239278793497,0.4399507883443105
GraphDRP,46224516,UNC0638,452,0.7448467662776748,0.9038961082280156
GraphDRP,46907787,JQ1,452,0.6443775556565198,0.7913630824653293
GraphDRP,9858940,SB505124,452,0.5938834450747809,0.48433524043078746
GraphDRP,60750,Gemcitabine,451,0.7862052538451069,0.9337887114651604
GraphDRP,104842,SN-38,444,0.7537878787878787,0.9538157641326689
