dataset,variant,local_layers,global_layers,fold,distance_bucket,pair_count,positive_count,negative_count,eligible,auc,aupr,f1,acc
dataset-1,local_only,2,0,1,exact_2_hop,1394,553,841,1,0.9056879242613525,0.8738484077959211,0.7838044308632544,0.796987087517934
dataset-1,local_only,2,0,1,exact_3_hop,68,2,66,1,0.9545454545454546,0.21666666666666667,0.5,0.9411764705882353
dataset-1,local_only,2,0,2,exact_2_hop,1370,504,866,1,0.906575341838044,0.8598806863851315,0.7541954590325765,0.8182481751824817
dataset-1,local_only,2,0,2,exact_3_hop,92,0,92,0,,,,
dataset-1,local_only,2,0,3,exact_2_hop,1389,561,828,1,0.9160875593100657,0.8890184392992833,0.7956487956487956,0.8106551475881929
dataset-1,local_only,2,0,3,exact_3_hop,72,0,72,0,,,,
dataset-1,local_only,2,0,4,exact_2_hop,1364,530,834,1,0.8948237636306049,0.8605464139715896,0.7636363636363637,0.7903225806451613
dataset-1,local_only,2,0,4,exact_3_hop,97,2,95,1,0.7421052631578947,0.5148039215686274,0.6666666666666666,0.9896907216494846
dataset-1,local_only,2,0,5,exact_2_hop,1385,547,838,1,0.9129205516747892,0.8827768608641596,0.782964782964783,0.8086642599277978
dataset-1,local_only,2,0,5,exact_3_hop,76,3,73,1,0.9269406392694064,0.4639730639730639,0.5,0.9736842105263158
dataset-1,hgt_2_only,0,2,1,exact_2_hop,1394,553,841,1,0.9091088925824549,0.8751640155385164,0.7832699619771863,0.7955523672883787
dataset-1,hgt_2_only,0,2,1,exact_3_hop,68,2,66,1,0.9696969696969697,0.29166666666666663,0.6666666666666666,0.9705882352941176
dataset-1,hgt_2_only,0,2,2,exact_2_hop,1370,504,866,1,0.9131383115216833,0.8687958688473649,0.7768456375838926,0.8058394160583942
dataset-1,hgt_2_only,0,2,2,exact_3_hop,92,0,92,0,,,,
dataset-1,hgt_2_only,0,2,3,exact_2_hop,1389,561,828,1,0.9135709180466213,0.8861160111981792,0.7993754879000781,0.8149748020158387
dataset-1,hgt_2_only,0,2,3,exact_3_hop,72,0,72,0,,,,
dataset-1,hgt_2_only,0,2,4,exact_2_hop,1364,530,834,1,0.8978123161847881,0.8596628792911266,0.7615947925142392,0.7851906158357771
dataset-1,hgt_2_only,0,2,4,exact_3_hop,97,2,95,1,0.6736842105263158,0.511780753968254,0.6666666666666666,0.9896907216494846
dataset-1,hgt_2_only,0,2,5,exact_2_hop,1385,547,838,1,0.9183613810194902,0.8897098230448288,0.794912559618442,0.8137184115523466
dataset-1,hgt_2_only,0,2,5,exact_3_hop,76,3,73,1,0.9178082191780822,0.4514245014245014,0.5,0.9736842105263158
dataset-1,hgt_2,2,2,1,exact_2_hop,1394,553,841,1,0.9103216054253849,0.8769107147037312,0.781733746130031,0.7977044476327116
dataset-1,hgt_2,2,2,1,exact_3_hop,68,2,66,1,0.9696969696969697,0.2875,0.5714285714285714,0.9558823529411765
dataset-1,hgt_2,2,2,2,exact_2_hop,1370,504,866,1,0.9069453609003262,0.8621149302247829,0.7629757785467128,0.8
dataset-1,hgt_2,2,2,2,exact_3_hop,92,0,92,0,,,,
dataset-1,hgt_2,2,2,3,exact_2_hop,1389,561,828,1,0.9146042694636045,0.8865029192934337,0.7955625990491284,0.8142548596112311
dataset-1,hgt_2,2,2,3,exact_3_hop,72,0,72,0,,,,
dataset-1,hgt_2,2,2,4,exact_2_hop,1364,530,834,1,0.9015678023618842,0.8628040804772854,0.7701754385964912,0.8079178885630498
dataset-1,hgt_2,2,2,4,exact_3_hop,97,2,95,1,0.6894736842105262,0.5123633879781421,0.6666666666666666,0.9896907216494846
dataset-1,hgt_2,2,2,5,exact_2_hop,1385,547,838,1,0.9053941438002033,0.8723624883773378,0.7735537190082644,0.8021660649819494
dataset-1,hgt_2,2,2,5,exact_3_hop,76,3,73,1,0.9223744292237444,0.1875180375180375,0.42857142857142855,0.8947368421052632
dataset-1,hgt_3,2,3,1,exact_2_hop,1394,553,841,1,0.9100184272146523,0.8753148518242155,0.783974862529458,0.802725968436155
dataset-1,hgt_3,2,3,1,exact_3_hop,68,2,66,1,0.9696969696969697,0.29166666666666663,0.6666666666666666,0.9705882352941176
dataset-1,hgt_3,2,3,2,exact_2_hop,1370,504,866,1,0.9172005022178232,0.8709747164468165,0.776595744680851,0.8160583941605839
dataset-1,hgt_3,2,3,2,exact_3_hop,92,0,92,0,,,,
dataset-1,hgt_3,2,3,3,exact_2_hop,1389,561,828,1,0.9128411136083769,0.8842856534083604,0.7956147220046985,0.8120950323974082
dataset-1,hgt_3,2,3,3,exact_3_hop,72,0,72,0,,,,
dataset-1,hgt_3,2,3,4,exact_2_hop,1364,530,834,1,0.9024026062169133,0.8656416000354711,0.7670364500792393,0.7844574780058651
dataset-1,hgt_3,2,3,4,exact_3_hop,97,2,95,1,0.7578947368421053,0.5157358156028369,0.6666666666666666,0.9896907216494846
dataset-1,hgt_3,2,3,5,exact_2_hop,1385,547,838,1,0.9168713704170721,0.8892672289663073,0.7920318725099602,0.8115523465703971
dataset-1,hgt_3,2,3,5,exact_3_hop,76,3,73,1,0.9269406392694064,0.4639730639730639,0.5,0.9736842105263158
dataset-2,local_only,2,0,1,exact_2_hop,22716,9595,13121,1,0.9274924273802356,0.9086819358464978,0.8258801141769743,0.8469360802958267
dataset-2,local_only,2,0,1,exact_3_hop,750,44,706,1,0.9496845222765903,0.5914089310254494,0.6595744680851063,0.9573333333333334
dataset-2,local_only,2,0,2,exact_2_hop,22654,9453,13201,1,0.9270189308993313,0.905448974640155,0.8232077764277035,0.8458550366381213
dataset-2,local_only,2,0,2,exact_3_hop,812,36,776,1,0.920389461626575,0.6240366043545466,0.6129032258064516,0.9704433497536946
dataset-2,local_only,2,0,3,exact_2_hop,22731,9598,13133,1,0.9284470702837324,0.9089565062833527,0.8273417721518987,0.8499846025251858
dataset-2,local_only,2,0,3,exact_3_hop,735,42,693,1,0.9573971002542431,0.7128460182937866,0.6666666666666666,0.963265306122449
dataset-2,local_only,2,0,4,exact_2_hop,22663,9522,13141,1,0.9251320333619647,0.904782862887537,0.8187087747351589,0.839915280413008
dataset-2,local_only,2,0,4,exact_3_hop,803,44,759,1,0.9372080488681279,0.6486694159580407,0.6292134831460674,0.958904109589041
dataset-2,local_only,2,0,5,exact_2_hop,22640,9619,13021,1,0.9267056816957077,0.9088093692386645,0.8265794110244148,0.8478356890459364
dataset-2,local_only,2,0,5,exact_3_hop,826,41,785,1,0.945999689296256,0.6750483427053827,0.625,0.9709443099273608
dataset-2,hgt_2_only,0,2,1,exact_2_hop,22716,9595,13121,1,0.9342207907408014,0.9182606893403653,0.8338617947556495,0.85468392322592
dataset-2,hgt_2_only,0,2,1,exact_3_hop,750,44,706,1,0.9419263456090652,0.6264907143662136,0.6067415730337079,0.9533333333333334
dataset-2,hgt_2_only,0,2,2,exact_2_hop,22654,9453,13201,1,0.9349523351218956,0.9160142132171221,0.8338838355607501,0.8556987728436479
dataset-2,hgt_2_only,0,2,2,exact_3_hop,812,36,776,1,0.9212485681557846,0.614592134206579,0.6486486486486487,0.9679802955665024
dataset-2,hgt_2_only,0,2,3,exact_2_hop,22731,9598,13133,1,0.9326492738221959,0.9152463166871148,0.8325329828640752,0.8542519026879591
dataset-2,hgt_2_only,0,2,3,exact_3_hop,735,42,693,1,0.9532398818113104,0.7115349668866061,0.6666666666666666,0.963265306122449
dataset-2,hgt_2_only,0,2,4,exact_2_hop,22663,9522,13141,1,0.9309939265524599,0.9128380579153049,0.8249770244051874,0.8487402373913427
dataset-2,hgt_2_only,0,2,4,exact_3_hop,803,44,759,1,0.9596658282429034,0.7304476634698336,0.6818181818181818,0.9651307596513076
dataset-2,hgt_2_only,0,2,5,exact_2_hop,22640,9619,13021,1,0.9339711050305478,0.9184476938682997,0.8342939481268011,0.857773851590106
dataset-2,hgt_2_only,0,2,5,exact_3_hop,826,41,785,1,0.9503184713375796,0.657670314564405,0.5970149253731343,0.9673123486682809
dataset-2,hgt_2,2,2,1,exact_2_hop,22716,9595,13121,1,0.9339720973649717,0.9178128970274553,0.8331656268866975,0.854023595703469
dataset-2,hgt_2,2,2,1,exact_3_hop,750,44,706,1,0.9459502961627608,0.6291921619657608,0.6382978723404256,0.9546666666666667
dataset-2,hgt_2,2,2,2,exact_2_hop,22654,9453,13201,1,0.9342374847575772,0.9148139769417855,0.8343514918968041,0.8551690650657721
dataset-2,hgt_2,2,2,2,exact_3_hop,812,36,776,1,0.9227520045819014,0.5651545996715833,0.5945945945945946,0.9630541871921182
dataset-2,hgt_2,2,2,3,exact_2_hop,22731,9598,13133,1,0.9334421701061577,0.9166547791621149,0.8301620859760395,0.8515683427917822
dataset-2,hgt_2,2,2,3,exact_3_hop,735,42,693,1,0.9495636638493781,0.7290977877491454,0.676056338028169,0.9687074829931973
dataset-2,hgt_2,2,2,4,exact_2_hop,22663,9522,13141,1,0.9315112023708216,0.9138194930688701,0.8259945023598361,0.8519613466884349
dataset-2,hgt_2,2,2,4,exact_3_hop,803,44,759,1,0.9582584740687508,0.7334921070341144,0.6666666666666666,0.9676214196762142
dataset-2,hgt_2,2,2,5,exact_2_hop,22640,9619,13021,1,0.9337573987317853,0.9177364732056555,0.8352663450682541,0.8582155477031802
dataset-2,hgt_2,2,2,5,exact_3_hop,826,41,785,1,0.9508777380767439,0.6463053148083981,0.5970149253731343,0.9673123486682809
dataset-2,hgt_3,2,3,1,exact_2_hop,22716,9595,13121,1,0.9323777098707546,0.9157537541504226,0.8300399303778028,0.8538475083641486
dataset-2,hgt_3,2,3,1,exact_3_hop,750,44,706,1,0.9462722122070564,0.663521670970612,0.6336633663366337,0.9506666666666667
dataset-2,hgt_3,2,3,2,exact_2_hop,22654,9453,13201,1,0.9334502883037343,0.9141909310921342,0.8325142914451911,0.8525646684912157
dataset-2,hgt_3,2,3,2,exact_3_hop,812,36,776,1,0.9214991408934707,0.5788182099209842,0.6027397260273972,0.9642857142857143
dataset-2,hgt_3,2,3,3,exact_2_hop,22731,9598,13133,1,0.9291059607887102,0.9111612061183074,0.826663995592728,0.8477409704808412
dataset-2,hgt_3,2,3,3,exact_3_hop,735,42,693,1,0.9524153095581667,0.7046575150527342,0.6666666666666666,0.9673469387755103
dataset-2,hgt_3,2,3,4,exact_2_hop,22663,9522,13141,1,0.9307363715291888,0.9119464391853449,0.8265063892115764,0.848431363897101
dataset-2,hgt_3,2,3,4,exact_3_hop,803,44,759,1,0.9537669181937957,0.7278624117842128,0.6904761904761905,0.9676214196762142
dataset-2,hgt_3,2,3,5,exact_2_hop,22640,9619,13021,1,0.9302850915399332,0.9134440475023335,0.8275011105078722,0.8456272084805654
dataset-2,hgt_3,2,3,5,exact_3_hop,826,41,785,1,0.94578219667547,0.6235306152739951,0.5970149253731343,0.9673123486682809
