dataset,variant,local_layers,global_layers,distance_bucket,folds,pair_count,positive_count,negative_count,auc_mean,auc_std,aupr_mean,aupr_std
dataset-1,hgt_2,2,2,exact_2_hop,5,6902,2695,4207,0.9077666363902805,0.004949996228476623,0.8721390266153142,0.01020740029448395
dataset-1,hgt_2,2,2,exact_3_hop,5,405,7,398,0.8605150277104134,0.15000403860861486,0.3291271418320599,0.166375297540581
dataset-1,hgt_2_only,0,2,exact_2_hop,5,6902,2695,4207,0.9103983638710076,0.007762947053092465,0.8758897195840032,0.012346376091509126
dataset-1,hgt_2_only,0,2,exact_3_hop,5,405,7,398,0.8537297998004559,0.15806777429446872,0.418290640686474,0.11373628445974462
dataset-1,hgt_3,2,3,exact_2_hop,5,6902,2695,4207,0.9118668039349676,0.006071055042837877,0.8770968101362342,0.00963944769049292
dataset-1,hgt_3,2,3,exact_3_hop,5,405,7,398,0.8848441152694938,0.11200060026728861,0.4237918487475225,0.11731429332777774
dataset-1,local_only,2,0,exact_2_hop,5,6902,2695,4207,0.9072190281429713,0.00817862166157274,0.873214161663217,0.013037216634815805
dataset-1,local_only,2,0,exact_3_hop,5,405,7,398,0.8745304523242519,0.115511166130878,0.398481217402786,0.15949401921547965
dataset-2,hgt_2,2,2,exact_2_hop,5,113404,47787,65617,0.9333840706662627,0.0010867929944497437,0.9161675238811762,0.0017854698607618757
dataset-2,hgt_2,2,2,exact_3_hop,5,3926,207,3719,0.9454804353479069,0.0134711194743028,0.6606483942458004,0.07124922673781861
dataset-2,hgt_2_only,0,2,exact_2_hop,5,113404,47787,65617,0.9333574862535802,0.001561517279971467,0.9161613942056415,0.0023204417368848456
dataset-2,hgt_2_only,0,2,exact_3_hop,5,3926,207,3719,0.9452798190313286,0.014869891393325778,0.6681471586987275,0.051178655365005724
dataset-2,hgt_3,2,3,exact_2_hop,5,113404,47787,65617,0.9311910844064641,0.0017239061472585503,0.9132992756097085,0.0018194766313561373
dataset-2,hgt_3,2,3,exact_3_hop,5,3926,207,3719,0.9439471555055918,0.013046302130268136,0.6596780846005077,0.06027433878813003
dataset-2,local_only,2,0,exact_2_hop,5,113404,47787,65617,0.9269592287241943,0.0012149554158709525,0.9073359297792415,0.002042533636797441
dataset-2,local_only,2,0,exact_3_hop,5,3926,207,3719,0.9421357644643585,0.014159856088744526,0.6504018624674412,0.04659671595555626
