dataset,variant,local_layers,global_layers,probe_branch,message_depth,fold,directed_distance,expected_reachable,source_cell_id,target_cell_id,pair_drug_id,label,source_input_change,target_branch_change,baseline_logit,perturbed_logit,absolute_logit_change,signed_logit_change,source_nonzero,control_cell_id,control_target_branch_change,control_absolute_logit_change,control_nonzero
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000020,ACH-000295,10027278,1,3.4072487354278564,0.010597147978842258,3.579535961151123,3.578810453414917,0.0007255077362060547,0.0007255077362060547,1,ACH-000002,7.751468729111366e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000024,ACH-000449,11152667,1,5.952871799468994,0.04955216869711876,6.683681964874268,6.696850776672363,0.013168811798095703,-0.013168811798095703,1,ACH-000004,8.91901720478927e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000046,ACH-000142,10077147,1,3.0170035362243652,0.002691409084945917,0.28876128792762756,0.2884385883808136,0.00032269954681396484,0.00032269954681396484,1,ACH-000006,8.209174211515347e-07,2.9802322387695312e-08,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000046,ACH-000607,10077147,1,3.0170035362243652,0.012738113291561604,0.3073703646659851,0.3062792718410492,0.001091092824935913,0.001091092824935913,1,ACH-000008,7.737581313449482e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000054,ACH-000425,11152667,1,6.7942070960998535,0.029460513964295387,6.539099216461182,6.534683704376221,0.0044155120849609375,0.0044155120849609375,1,ACH-000009,1.0716411225075717e-06,4.76837158203125e-07,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000054,ACH-000881,10027278,1,6.7942070960998535,0.013342435471713543,4.704548358917236,4.7040276527404785,0.0005207061767578125,0.0005207061767578125,1,ACH-000019,7.138962700992124e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000098,ACH-000320,10027278,1,2.839053153991699,0.004320135805755854,4.431844711303711,4.4314351081848145,0.0004096031188964844,0.0004096031188964844,1,ACH-000019,8.027978992686258e-07,4.76837158203125e-07,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000115,ACH-000401,10027278,1,2.367915153503418,0.005902634933590889,0.5270576477050781,0.5270881652832031,3.0517578125e-05,-3.0517578125e-05,1,ACH-000024,8.175293828571739e-07,5.960464477539063e-08,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000115,ACH-000546,11152667,1,2.367915153503418,0.0039833406917750835,6.757491588592529,6.757652759552002,0.00016117095947265625,-0.00016117095947265625,1,ACH-000023,8.31699765058147e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000121,ACH-000805,10027278,1,2.6061558723449707,0.004081065766513348,2.5877256393432617,2.587606191635132,0.00011944770812988281,0.00011944770812988281,1,ACH-000038,8.619841764812008e-07,0.0,1
