cell_line_id,pubchem_id,label
ACH-000087,24360,1
ACH-000905,24360,1
ACH-000242,24360,1
ACH-000720,24360,1
ACH-000323,24360,1
ACH-000137,24360,1
ACH-000558,24360,1
ACH-000738,24360,1
ACH-000571,24360,-1
ACH-000867,24360,-1
ACH-000392,24360,-1
ACH-000662,24360,-1
ACH-000769,24360,-1
ACH-000589,24360,-1
ACH-000744,24360,1
ACH-000766,24360,-1
ACH-000035,24360,-1
ACH-000021,24360,-1
ACH-000733,24360,-1
ACH-000451,24360,-1
ACH-000481,24360,1
ACH-000447,24360,1
ACH-000951,24360,-1
ACH-000875,24360,-1
ACH-000121,24360,-1
ACH-000853,24360,-1
ACH-000187,24360,1
ACH-000866,24360,1
ACH-000514,24360,-1
ACH-000431,24360,1
ACH-000729,24360,1
ACH-000298,24360,-1
ACH-000290,24360,1
ACH-001138,24360,-1
ACH-000525,24360,1
ACH-000610,24360,1
ACH-000800,24360,-1
ACH-000767,24360,1
ACH-000358,24360,-1
ACH-000355,24360,1
ACH-000153,24360,-1
ACH-000366,24360,1
ACH-000341,24360,-1
ACH-001233,24360,-1
ACH-000670,24360,1
ACH-000149,24360,1
ACH-000521,24360,-1
ACH-000311,24360,1
ACH-000675,24360,1
ACH-000945,24360,1
ACH-000018,24360,1
ACH-000050,24360,1
ACH-000260,24360,-1
ACH-000510,24360,-1
ACH-000841,24360,1
ACH-000522,24360,1
ACH-000775,24360,-1
ACH-000264,24360,-1
ACH-000666,24360,-1
ACH-000496,24360,1
ACH-000094,24360,-1
ACH-000790,24360,-1
ACH-000886,24360,1
ACH-000718,24360,-1
ACH-000408,24360,1
ACH-000859,24360,-1
ACH-000374,24360,-1
ACH-000111,24360,-1
ACH-000699,24360,-1
ACH-000196,24360,1
ACH-000223,24360,-1
ACH-000691,24360,1
ACH-000755,24360,-1
ACH-000276,24360,-1
ACH-000603,24360,-1
ACH-000548,24360,-1
ACH-000210,24360,1
ACH-000826,24360,-1
ACH-000518,24360,1
ACH-001049,24360,-1
ACH-000563,24360,1
ACH-000305,24360,1
ACH-000585,24360,-1
ACH-000472,24360,1
ACH-000396,24360,1
ACH-000858,24360,-1
ACH-000823,24360,-1
ACH-000809,24360,-1
ACH-000637,24360,-1
ACH-000784,24360,-1
ACH-000627,24360,-1
ACH-000787,24360,-1
ACH-000892,24360,-1
ACH-001075,24360,1
ACH-000030,24360,-1
ACH-000363,24360,1
ACH-000353,24360,1
ACH-000259,24360,1
ACH-000099,24360,1
ACH-000647,24360,-1
ACH-000318,24360,1
ACH-000452,24360,-1
ACH-000090,24360,-1
ACH-000997,24360,1
ACH-000002,24360,1
ACH-000552,24360,-1
ACH-000551,24360,-1
ACH-000367,24360,-1
ACH-000900,24360,1
ACH-000463,24360,1
ACH-000343,24360,-1
ACH-000019,24360,-1
ACH-000681,24360,1
ACH-000046,24360,1
ACH-000288,24360,-1
ACH-000615,24360,-1
ACH-001190,24360,-1
ACH-000730,24360,-1
ACH-001127,24360,1
ACH-000811,24360,-1
ACH-000768,24360,-1
ACH-000651,24360,1
ACH-001151,24360,-1
ACH-000706,24360,-1
ACH-000861,24360,1
ACH-000825,24360,-1
ACH-000425,24360,1
ACH-000579,24360,-1
ACH-000504,24360,-1
ACH-000273,24360,1
ACH-000655,24360,1
ACH-000969,24360,-1
ACH-000617,24360,-1
ACH-000696,24360,1
ACH-000535,24360,-1
ACH-000191,24360,1
ACH-001016,24360,1
ACH-000880,24360,1
ACH-000528,24360,1
ACH-000788,24360,1
ACH-001306,24360,-1
ACH-000896,24360,1
ACH-000973,24360,1
ACH-000070,24360,1
ACH-000536,24360,1
ACH-000657,24360,1
ACH-000161,24360,-1
ACH-000508,24360,-1
ACH-000401,24360,-1
ACH-000717,24360,-1
ACH-000805,24360,1
ACH-000120,24360,1
ACH-000138,24360,1
ACH-000713,24360,1
ACH-000212,24360,-1
ACH-000174,24360,1
ACH-000580,24360,1
ACH-000786,24360,1
ACH-000334,24360,1
ACH-000211,24360,1
ACH-000863,24360,-1
ACH-000233,24360,1
ACH-000244,24360,-1
ACH-000056,24360,1
ACH-001064,24360,1
ACH-000560,24360,1
ACH-000225,24360,-1
ACH-000330,24360,-1
ACH-000936,24360,-1
ACH-000295,24360,1
ACH-001065,24360,-1
ACH-000903,24360,1
ACH-000572,24360,-1
ACH-000098,24360,1
ACH-000047,24360,1
ACH-000081,24360,1
ACH-000756,24360,1
ACH-000835,24360,1
ACH-000913,24360,1
ACH-000389,24360,1
ACH-000277,24360,-1
ACH-000930,24360,-1
ACH-000624,24360,1
ACH-000668,24360,-1
ACH-000004,24360,1
ACH-000847,24360,1
ACH-000061,24360,-1
ACH-001089,24360,1
ACH-000613,24360,1
ACH-000778,24360,1
ACH-000546,24360,1
ACH-000914,24360,-1
ACH-000054,24360,-1
ACH-000547,24360,-1
ACH-000724,24360,-1
ACH-000322,24360,-1
ACH-000976,24360,-1
ACH-000480,24360,-1
ACH-000882,24360,-1
ACH-000915,24360,-1
ACH-000569,24360,-1
ACH-000106,24360,1
ACH-000346,24360,1
ACH-000231,24360,-1
ACH-000053,24360,1
ACH-000315,24360,1
ACH-000263,24360,1
ACH-000101,24360,1
ACH-000386,24360,1
ACH-000380,24360,1
